Year,Month,LiveOutcome
2017,January,210630
2017,February,201552
2017,March,215721
2017,April,208488
2017,May,227617
2017,June,259491
2017,July,267703
2017,August,276518
2017,September,263512
2017,October,259587
2017,November,242840
2017,December,250897
2018,January,241330
2018,February,221382
2018,March,246734
2018,April,230827
2018,May,284495
2018,June,286174
2018,July,295127
2018,August,309543
2018,September,275854
2018,October,287650
2018,November,265027
2018,December,275375
2019,January,255634
2019,February,234498
2019,March,259826
2019,April,246497
2019,May,278386
2019,June,308613
2019,July,319201
2019,August,338580
2019,September,294593
2019,October,308353
2019,November,291299
2019,December,289716
2020,January,268460
2020,February,250323
2020,March,225349
2020,April,146384
2020,May,188248
2020,June,232238
2020,July,258378
2020,August,261580
2020,September,250412
2020,October,267505
2020,November,235592
2020,December,243564
